0,8
0,9
1,10
1,11
2,12
2,13
2,14
3,15
4,15
4,16
4,17
5,18
5,19
5,20
6,21
7,22
8,23
8,24
8,25
8,26
8,64
8,66
9,27
9,62
9,66
10,28
10,66
11,28
11,29
11,30
11,31
11,32
11,63
11,66
12,33
12,34
12,35
12,36
12,37
12,66
13,38
13,39
13,65
13,74
14,40
14,41
15,42
15,43
15,44
15,45
15,46
15,47
15,48
15,64
15,66
16,48
16,49
16,50
16,51
16,52
16,66
16,67
16,74
17,74
18,66
18,74
19,53
19,54
19,68
19,69
19,73
20,55
20,56
20,57
20,66
21,58
21,70
21,74
22,59
22,60
22,61
22,71
22,72
22,74
24,66
25,66
27,62
27,64
27,66
31,63
38,65
39,65
39,74
42,64
42,66
44,64
46,66
48,64
48,66
49,66
51,66
52,67
52,74
53,68
53,69
53,73
58,70
59,71
60,72
68,73
70,74
71,74
72,74
