1,3
1,5
1,8
1,9
1,13
1,14
1,15
1,20
1,21
1,25
1,35
1,41
1,58
1,60
1,63
1,65
1,66
1,69
1,80
1,84
1,93
1,101
1,105
1,112
1,114
1,132
1,147
1,160
1,180
1,181
1,189
1,212
1,214
1,234
1,252
1,253
1,255
1,259
1,294
1,299
1,330
1,342
1,345
1,365
1,387
1,475
1,559
1,614
1,870
1,881
1,1762
1,3089
1,3150
1,3341
1,3523
1,3539
1,3723
1,3895
1,4824
1,5512
1,5691
1,5841
1,5887
1,5925
1,6016
1,7838
1,11440
1,11542
1,11824
1,12448
2,2
2,3
2,6
2,8
2,9
2,10
2,13
2,15
2,16
2,18
2,20
2,25
2,40
2,44
2,46
2,55
2,61
2,63
2,74
2,75
2,81
2,85
2,92
2,105
2,112
2,119
2,131
2,152
2,154
2,201
2,206
2,227
2,234
2,236
2,252
2,275
2,286
2,352
2,363
2,415
2,445
2,446
2,458
2,459
2,460
2,575
2,627
2,647
2,668
2,692
2,705
2,857
2,882
2,886
2,993
2,1096
2,1172
2,1212
2,1345
2,1346
2,1931
2,2047
2,2163
2,2412
2,2430
2,2553
2,2554
2,2702
2,2839
2,2876
2,2965
2,2984
2,2987
2,2988
2,2992
2,3125
2,3127
2,3287
2,3402
2,3511
2,3512
2,3541
2,4681
2,4702
2,4734
2,4846
2,4877
2,4882
2,5336
2,5345
2,5691
2,5820
2,5928
2,5929
2,6112
2,6113
2,9332
2,11436
3,4
3,6
3,8
3,11
3,20
3,22
3,80
3,111
3,236
3,455
3,3912
3,4281
3,4631
5,1
5,6
5,129
6,5
6,11
6,14
6,22
6,26
6,64
6,80
6,111
6,199
6,236
6,343
6,445
6,1236
6,3287
6,3341
6,3912
6,4281
6,4631
6,5765
6,11437
7,6635
8,2
8,8
8,1284
8,5841
9,1
9,2
9,4
9,5
9,8
9,10
9,13
9,15
9,20
9,35
9,46
9,73
9,74
9,80
9,106
9,112
9,147
9,153
9,227
9,236
9,242
9,253
9,262
9,385
9,442
9,465
9,672
9,2876
9,3287
9,5765
9,5925
10,13
10,20
10,24
10,40
10,54
10,91
10,100
10,154
10,229
10,512
10,527
10,681
10,3112
10,11949
10,14120
12,6250
13,1
13,2
13,9
13,73
13,106
13,119
13,147
13,242
13,253
13,354
13,4051
13,5378
14,8
14,9
14,13
14,20
14,63
14,152
15,8
15,75
17,1
17,5546
19,1
19,2
19,21
19,73
19,84
19,828
19,1152
19,2059
19,3391
19,4142
19,4157
19,4160
19,5302
19,5802
19,5804
19,5814
19,6199
19,6245
19,11542
20,8
20,9
20,119
20,147
20,212
21,147
21,3539
22,11
22,13
22,20
22,74
22,11437
24,10
24,227
24,2727
24,3341
24,5135
24,6442
25,5
25,8
25,9
25,13
25,20
25,26
25,64
25,80
25,217
25,415
25,2987
25,3287
25,3541
25,5928
25,5929
25,6112
